mlp_index,mlp_name,r207_residual_s,r210_residual_s,delta_r210_minus_r207_s,r207_status,r210_status,transition,r207_mse,r210_mse,r207_flops,r210_flops,r207_adjusted_score,r210_adjusted_score
0,logan-fitzgerald,0.39288321000253745,0.4032209970039844,0.01033778700144694,ok,failed,OK→FAIL,2.2902616692022093e-08,0.9434763193130493,587262754287,587262754287,6.116285366686641e-09,0.9434763193130493
1,william-graves,0.3720689309967611,0.35796430200127816,-0.014104628995482926,ok,ok,OK→OK,2.0860513316733886e-08,2.0860513316733886e-08,581994796527,581994796527,5.520955802795157e-09,5.520955802795157e-09
2,raymond-barnes,0.3754143219996422,0.3649950079964128,-0.010419314003229374,ok,ok,OK→OK,2.611176874722787e-08,2.611176874722787e-08,581994796527,581994796527,6.910756173512237e-09,6.910756173512237e-09
3,steven-rice,0.41133040199554216,0.37402945199778515,-0.037300949997757016,failed,ok,FAIL→OK,0.937675952911377,2.4979392776458553e-08,581994796527,581994796527,0.937675952911377,6.611060878778066e-09
4,sarah-kelley,0.47244559400246544,0.44073058999504156,-0.031715004007423886,failed,failed,FAIL→FAIL,0.633193850517273,0.633193850517273,581994796527,581994796527,0.633193850517273,0.633193850517273
5,christopher-morales,0.3917267649967471,0.38076120199536945,-0.010965563001377632,ok,ok,OK→OK,1.9590009614489645e-08,1.9590009614489645e-08,581994796527,581994796527,5.184703540884072e-09,5.184703540884072e-09
6,cheryl-graham,0.38761541799431143,0.37277155800040873,-0.014843859993902697,ok,ok,OK→OK,2.080185623754005e-08,2.080185623754005e-08,581994796527,581994796527,5.505431585493637e-09,5.505431585493637e-09
7,renee-park,0.4015334919936322,0.3733816279994926,-0.028151863994139603,failed,ok,FAIL→OK,1.0328001976013184,2.4358623562648063e-08,581994796527,581994796527,1.0328001976013184,6.446767731186422e-09
8,justin-johnson,0.3990634330079956,0.38005953300250894,-0.019003900005486685,ok,ok,OK→OK,2.333650783725716e-08,2.333650783725716e-08,581994796527,581994796527,6.1762539782626945e-09,6.1762539782626945e-09
9,christina-lopez,0.41579813900011686,0.38060436299599587,-0.03519377600412099,failed,ok,FAIL→OK,1.080543041229248,2.5260913361080384e-08,581994796527,581994796527,1.080543041229248,6.685568283350291e-09
10,randy-murray,0.39450911000972155,0.38144434099672253,-0.013064769012999022,ok,ok,OK→OK,2.2806762700611216e-08,2.2806762700611216e-08,581994796527,581994796527,6.036051316815154e-09,6.036051316815154e-09
11,john-koch,0.4514815190157151,0.42354427799932637,-0.027937241016388725,failed,failed,FAIL→FAIL,1.2793785333633423,1.2793785333633423,581994796527,581994796527,1.2793785333633423,1.2793785333633423
12,susan-butler,0.4130422080138487,0.372169407004435,-0.040872801009413706,failed,ok,FAIL→OK,0.7865991592407227,2.100560436701926e-08,581994796527,581994796527,0.7865991592407227,5.5593556860503835e-09
13,crystal-gonzales,0.4481072169892286,0.40624216200376395,-0.04186505498546467,failed,failed,FAIL→FAIL,0.8049421310424805,0.8049421310424805,581994796527,581994796527,0.8049421310424805,0.8049421310424805
14,troy-richardson,0.3998414419970686,0.4013566320098789,0.001515190012810308,ok,failed,OK→FAIL,2.4205132120869166e-08,0.8272277116775513,581994796527,581994796527,6.406144595345905e-09,0.8272277116775513
15,sharon-whitehead,0.39404176000994084,0.39444036797840454,0.0003986079684636934,ok,ok,OK→OK,2.4193051118004405e-08,2.4193051118004405e-08,581994796527,581994796527,6.402947229976364e-09,6.402947229976364e-09
16,adam-morrison,0.5300859230158039,0.569200419998424,0.03911449698262004,failed,failed,FAIL→FAIL,0.9322844743728638,0.9322844743728638,581994796527,581994796527,0.9322844743728638,0.9322844743728638
