row,name,network_id,target_sha256,v25_status,v29_status,v25_final_mse,v29_final_mse,delta_mse_v29_minus_v25,v25_official_adjusted_score,v29_official_adjusted_score,delta_score_v29_minus_v25,budget_flops,v25_measured_flops,v29_measured_flops,v25_residual_wall_time_s,v29_residual_wall_time_s,v25_wall_time_s,v29_wall_time_s,v29_failure_reasons
0,logan-fitzgerald,6319981554997072999,713d7f4b5f8dc36c53763046e57b25793c4d44e8d93f82174589be132e45af82,ok,ok,2.290469680588103e-8,2.2902616692022093e-8,-2.0801138589376933e-12,8.398338779926109e-9,6.116285366686641e-9,-2.282053413239468e-9,2199023255552,806303721965,587262754287,0.19043814401743475,0.3918096079883071,29.582959676999963,38.139570349999985,
1,william-graves,2392109381927064353,94aceb2899414d669f70fc28116ea77c1709d65c1264892ed7e68b0add73cfc4,ok,failed,2.084175143579614e-8,1.123910665512085,1.1239106446703335,7.641929985289522e-9,1.123910665512085,1.123910657870155,2199023255552,806303721965,558473140719,0.1818901949877727,0.43323872200062397,29.359253710000075,51.163595215999976,residual_wall_time_exhausted
2,raymond-barnes,4030325997523501402,5f0c2d71ebe42446124e2bc481f966b7836e4295c1a6e30ba49bc49c53edcd34,ok,ok,2.610782878775808e-8,2.609719729207427e-8,-1.0631495683810499e-11,9.572813507472489e-9,6.5910890486145704e-9,-2.9817244588579187e-9,2199023255552,806303721965,555383704047,0.17978168399804417,0.37521838000930074,29.35521239400009,47.10804302099996,
3,steven-rice,6959524404880716684,c119d75f202a5aff3182f13653924915626797844fcc3e48a3df3886e8410d1b,ok,ok,2.49841693999997e-8,2.4999200931574705e-8,1.503153157500492e-11,9.16080752059489e-9,6.313779891385445e-9,-2.847027629209445e-9,2199023255552,806303721965,555383704047,0.1817476780013294,0.3764123200071481,29.503844496000056,47.159933161000026,
4,sarah-kelley,3958198382245770826,aceb6cb1873b1b5ad81156a61a30f78139d3824a10670fba990052d5884e93a9,ok,ok,2.2046663161745528e-8,2.206217786238085e-8,1.5514700635321788e-11,8.08372831862656e-9,5.572007494516947e-9,-2.5117208241096124e-9,2199023255552,806303721965,555383704047,0.17665640799145876,0.37606937999976253,29.26671823200013,47.20351586799984,
5,christopher-morales,7846555140217393207,1dedfc1aabb61c8a578f2a91059b26ba4c68c7efe1095d46cd731e50c0d6e311,ok,ok,1.960636986098052e-8,1.9591336553048677e-8,-1.503330793184432e-11,7.188959440614323e-9,4.947973621739747e-9,-2.2409858188745762e-9,2199023255552,806303721965,555383704047,0.17869683698086192,0.37902741101174797,29.660207805000027,46.91555741000002,
6,cheryl-graham,6455969887580159404,bd4df7a96ed021c89e26464cfbcb734a2ee2075fdb7f9cb216aba631371ee7e6,ok,failed,2.0817978452214447e-8,0.68305504322052,0.6830550224025416,7.633213276589084e-9,0.68305504322052,0.6830550355873067,2199023255552,806303721965,555383704047,0.17815946699101914,0.45454136700323033,29.547478468999998,48.18016180100017,residual_wall_time_exhausted
7,renee-park,3642947882172421415,eca85716a43ebce6b8cb41f3950e3eab1e186b41b9fb19afa117c49910ad7803,ok,failed,2.4277749588463848e-8,1.0328001976013184,1.0328001733235688,8.901788466624862e-9,1.0328001976013184,1.03280018869953,2199023255552,806303721965,555383704047,0.1775738189949152,0.4150879389903821,29.60015902100008,49.172578422000015,residual_wall_time_exhausted
8,justin-johnson,1231855977102813932,5752ff4f59f5f6f7172117a06b4dafa83fefaa27e88977cc7b8503b5df97b65d,ok,failed,2.3329354448264894e-8,0.7100355625152588,0.7100355391859043,8.554045654217004e-9,0.7100355625152588,0.7100355539612131,2199023255552,806303721965,555383704047,0.177680135997889,0.44476353001027746,29.853414201000078,48.902445627999896,residual_wall_time_exhausted
9,christina-lopez,2704129700552098135,f178769226c1630ee8564ab45329ec3d241a6bf63d84c29f1b54ab2ec3b71805,ok,failed,2.527135478658238e-8,1.080543041229248,1.0805430159578933,9.266108201481707e-9,1.080543041229248,1.08054303196314,2199023255552,806303721965,555383704047,0.17912621800496709,0.4286408489974747,29.45468718500001,49.48210195799993,residual_wall_time_exhausted
