tail_rank,original_index,name,network_id,target_sha256,final_mse,share_total_raw_mse,cumulative_share_total_raw_mse,leave_one_out_mean_raw_mse,leave_one_out_delta_from_full_mean,measured_flops,budget_flops,compute_factor
1,47,douglas-kelly,1876000384391229791,e7e276e55667cc175301cc5a865679be7f8b6cec5cc460935d417c6f3d86f4db,3.0288653363186313e-8,0.013592696639751474,0.013592696639751474,2.2202170068760206e-8,-8.0864832944263650e-11,806303721965,2199023255552,0.36666448157347986
2,90,rachel-kelley,5451601564174840496,76da891438d5404d1c5f33b3c9b842ad7bc793d0f9bfa3d97c4f3aa8a3b6efd3,2.9562103875946377e-8,0.013266641643003988,0.026859338282755461,2.2209508952469703e-8,-7.3525949234766742e-11,806303721965,2199023255552,0.36666448157347986
3,73,victor-garrett,8439345745453955992,31f6fb8a2f3a78be1006691213c360eac038c5f6f05e5405cf31a069daf55193,2.8373893457001031e-8,0.012733406190927190,0.039592744473682648,2.2221511077913593e-8,-6.1523823790877001e-11,806303721965,2199023255552,0.36666448157347986
4,37,paige-miller,3703256763869420164,dc4f6133cdae0af9bf692f50d0579e217c04451fbbd6a54616a5579c59d30c8c,2.8312864941426596e-8,0.012706018307793835,0.052298762781476486,2.2222127527565861e-8,-6.0907374138608376e-11,806303721965,2199023255552,0.36666448157347986
5,34,rachel-warren,8920457781230169818,9a0f2ba7bb28224b911fa45bad3038ccbcdd564ab9bda3ee909ee4d51ba6dacd,2.7665310042834790e-8,0.012415413863000602,0.064714176644477081,2.2228668486137494e-8,-5.4366415566976004e-11,806303721965,2199023255552,0.36666448157347986
6,67,marie-paul,2474931402529981222,8865ba3d55bd68e1386ac72c93f8866eed7184855396fdb6232a1f146eb20c24,2.7613506148327360e-8,0.012392165730627274,0.077106342375104359,2.2229191757799186e-8,-5.3843143905284095e-11,806303721965,2199023255552,0.36666448157347986
7,40,sylvia-stanley,8509454987965736357,c19454fc2c5d601ce45e0eee52f0c097113c3f90a2c5fe718a20bead2ac1f673,2.6912237771625769e-8,0.012077456185991615,0.089183798561095970,2.2236275276755770e-8,-4.6759624948700157e-11,806303721965,2199023255552,0.36666448157347986
8,93,nathan-moore,7807267696492052470,4ab085900ecda3c008f68a6fc603908df189638a36e1abdae509a28c6c00e13a,2.6575650124982531e-8,0.011926405106940667,0.10111020366803665,2.2239675151974388e-8,-4.3359749730081522e-11,806303721965,2199023255552,0.36666448157347986
9,26,jennifer-best,3478610531759830282,5542b9129a81f9a5b5207a8b7187d20115154da5f8644f457f4c758e3bb80950,2.6499325400664020e-8,0.011892152715085071,0.11300235638312171,2.2240446108785685e-8,-4.2588792918785106e-11,806303721965,2199023255552,0.36666448157347986
10,84,michelle-taylor,1513056364632441852,24c447ecffce18d69e3af4d8b9f68de0b882f50e1a92ec4265c8d1ed48f1db3f,2.6120513751948238e-8,0.011722152690229030,0.12472450907335074,2.2244272489075743e-8,-3.8762412628726801e-11,806303721965,2199023255552,0.36666448157347986
11,2,raymond-barnes,4030325997523501402,5f0c2d71ebe42446124e2bc481f966b7836e4295c1a6e30ba49bc49c53edcd34,2.6107828787758081e-8,0.011716460034697090,0.13644096910804784,2.2244400620027160e-8,-3.8634281677309634e-11,806303721965,2199023255552,0.36666448157347986
12,33,mark-sweeney,420371704280610938,6430f5e64c91ceecbe7714cedeb078f6c4d4fca044ffe15469e54787255b9084,2.5810996007180620e-8,0.011583249822584216,0.14802421893063206,2.2247398930942084e-8,-3.5635970762385622e-11,806303721965,2199023255552,0.36666448157347986
13,78,george-chase,5495818927611162469,ea4206452598cb900a4c8965c656918a115a596b7dfc5c7f7a1f967bc231298f,2.5721387686417074e-8,0.011543036125859859,0.15956725505649191,2.2248304065495250e-8,-3.4730836209219397e-11,806303721965,2199023255552,0.36666448157347986
14,21,marissa-perez,6127855443806155466,36a526a0cbb238068affa00266a7858faf86e2233d263955c07e22d9f748c415,2.5458252395083036e-8,0.011424948400155174,0.17099220345664709,2.2250961997730947e-8,-3.2072903973522512e-11,806303721965,2199023255552,0.36666448157347986
15,95,mark-snyder,3109974749458014971,6a83c6642a00c2b50d87dfd3865708f6d5b2231cd0727fad57231d9f4352d18a,2.5385713087189288e-8,0.011392394796835995,0.18238459825348308,2.2251694718012702e-8,-3.1340183691768278e-11,806303721965,2199023255552,0.36666448157347986
16,9,christina-lopez,2704129700552098135,f178769226c1630ee8564ab45329ec3d241a6bf63d84c29f1b54ab2ec3b71805,2.5271354786582378e-8,0.011341074004533075,0.19372567225801615,2.2252849852362266e-8,-3.0185049342204005e-11,806303721965,2199023255552,0.36666448157347986
17,76,scott-young,5322187042263020144,f9e78522cb222de36c3afb30939d481ce9da5d380fd7f3f02ea3001df650698f,2.5182886886909728e-8,0.011301372096753052,0.20502704435476921,2.2253743467510474e-8,-2.9291434193995513e-11,806303721965,2199023255552,0.36666448157347986
18,3,steven-rice,6959524404880716684,c119d75f202a5aff3182f13653924915626797844fcc3e48a3df3886e8410d1b,2.4984169399999701e-8,0.011212193271791994,0.21623923762656119,2.2255750714853000e-8,-2.7284186851469952e-11,806303721965,2199023255552,0.36666448157347986
19,92,james-perez,4058513975018849492,5ddc87ab888496423c77509a34dd270bdeab52cf48809924fda8923b11c662cc,2.4790121955220457e-8,0.011125110230529782,0.22736434785709098,2.2257710790052793e-8,-2.5324111651677002e-11,806303721965,2199023255552,0.36666448157347986
20,54,james-parsons,2633982697218239142,a1996a2e2c23b64781bf8fffc7d2a491217f5a572fc447925d9c6dbea1249eec,2.4756007022119775e-8,0.011109800407046953,0.23847414826413793,2.2258055385336636e-8,-2.4979516367833369e-11,806303721965,2199023255552,0.36666448157347986
21,88,heather-strickland,4126904310431152331,c48f38818f6dcfb03a0b9b573ded71a2017b6311a0afe526aabc1cc853058c57,2.4635188111687967e-8,0.011055580274571835,0.24952972853870978,2.2259275778371301e-8,-2.3759123333168674e-11,806303721965,2199023255552,0.36666448157347986
22,64,diane-jones,379099306488066524,f39af2cc5ed93f648e47eeb3c62100c9cc6e8b11fbcc96a9e5b4cdefb940134a,2.4423824740438249e-8,0.010960726332017740,0.26049045487072753,2.2261410761919280e-8,-2.1624139785189891e-11,806303721965,2199023255552,0.36666448157347986
23,7,renee-park,3642947882172421415,eca85716a43ebce6b8cb41f3950e3eab1e186b41b9fb19afa117c49910ad7803,2.4277749588463848e-8,0.010895171907937370,0.27138562677866490,2.2262886268504877e-8,-2.0148633199592590e-11,806303721965,2199023255552,0.36666448157347986
24,55,victor-short,3088209523042816135,8bfb2b68452b03f0e0b07ec399ddd706198578d50fa8b6dadd4e483ae6aceb55,2.4231052719869695e-8,0.010874215665306981,0.28225984244397184,2.2263357954046233e-8,-1.9676947658236732e-11,806303721965,2199023255552,0.36666448157347986
25,39,rebecca-jackson,9077028007935113016,704c66277f8f4d1664d846b2212963ef39b597d3c0c59f91f2a4fc4a66f65e46,2.4223508532372762e-8,0.010870830045919761,0.29313067248989161,2.2263434157960344e-8,-1.9600743744126132e-11,806303721965,2199023255552,0.36666448157347986
26,99,kelsey-gonzalez,998801302670386654,dd2bc4637d80b652e51c94d5120e9364e1e7fbadda9d59e38610853c1e728673,2.4196536330123308e-8,0.010858725679360881,0.30398939816925252,2.2263706604447713e-8,-1.9328297256756880e-11,806303721965,2199023255552,0.36666448157347986
27,14,troy-richardson,3448660450172082933,bede3e842a6e9d216062c411d49188baffd3d10ea32751a1124bbd3cbe302b8d,2.4187464475744491e-8,0.010854654485998382,0.31484405265525089,2.2263798239340427e-8,-1.9236662364042525e-11,806303721965,2199023255552,0.36666448157347986
28,15,sharon-whitehead,944045338291930753,15f1f91886ddd3c6ebfee30327ff5d919d691a4eecb09b5fc109acc874c117d3,2.4181140645396226e-8,0.010851816528612343,0.32569586918386323,2.2263862116414652e-8,-1.9172785289817561e-11,806303721965,2199023255552,0.36666448157347986
